"","Year","Price","Count","Total_In_Price_Range","Percent"
"1","5+","Less than $7",22,60,0.366666666666667
"2","5+","$7 to $15",38,80,0.475
"3","5+","$15 to $20",19,41,0.463414634146341
"4","5+","$20 to $30",10,16,0.625
"5","5+","More than $30",5,8,0.625
"6","2 to 5","Less than $7",24,60,0.4
"7","2 to 5","$7 to $15",34,80,0.425
"8","2 to 5","$15 to $20",19,41,0.463414634146341
"9","2 to 5","$20 to $30",5,16,0.3125
"10","2 to 5","More than $30",3,8,0.375
"11","< 2","Less than $7",14,60,0.233333333333333
"12","< 2","$7 to $15",8,80,0.1
"13","< 2","$15 to $20",3,41,0.0731707317073171
"14","< 2","$20 to $30",1,16,0.0625
"15","< 2","More than $30",0,8,0
